DATE_YMD,actual,predicted_prob,predicted_class
1990-01-01,0,1.2185246616107367e-05,0
1990-02-01,0,6.978127150919993e-07,0
1990-03-01,0,6.898083597144572e-07,0
1990-04-01,0,1.0623027353169896e-05,0
1990-05-01,0,5.960254111080088e-05,0
1990-06-01,0,2.0951328985416096e-06,0
1990-07-01,0,8.898476930377619e-05,0
1990-08-01,1,0.9997079717021075,1
1990-09-01,1,0.9997656858497855,1
1990-10-01,1,0.9999780898702354,1
1990-11-01,1,0.9999760143271409,1
1990-12-01,1,0.9998691863411997,1
1991-01-01,1,0.999977358219975,1
1991-02-01,1,0.9999303120047424,1
1991-03-01,1,0.9998377688290035,1
1991-04-01,0,0.00011727849384740956,0
1991-05-01,0,0.0001698448294762294,0
1991-06-01,0,1.4950007757732108e-07,0
1991-07-01,0,0.00011668857979851198,0
1991-08-01,0,1.0314770626962261e-07,0
1991-09-01,0,8.656016877822106e-07,0
1991-10-01,0,2.266689669530845e-05,0
1991-11-01,0,5.913345479858254e-05,0
1991-12-01,0,4.442898662115439e-06,0
1992-01-01,0,1.831362758871255e-05,0
1992-02-01,0,9.062854968409087e-06,0
1992-03-01,0,1.1489288700500349e-07,0
1992-04-01,0,1.0810410521045593e-07,0
1992-05-01,0,8.394380735069778e-07,0
1992-06-01,0,1.1459807625517138e-07,0
1992-07-01,0,7.006519629490035e-06,0
1992-08-01,0,6.32935361521575e-06,0
1992-09-01,0,4.75246127712641e-06,0
1992-10-01,0,3.5855654420183586e-05,0
1992-11-01,0,1.1202254901173468e-07,0
1992-12-01,0,1.1327190288544797e-07,0
1993-01-01,0,1.394082007820689e-06,0
1993-02-01,0,1.1096726351559844e-07,0
1993-03-01,0,6.383850428648385e-05,0
1993-04-01,0,9.074520951445552e-08,0
1993-05-01,0,1.7079804443271374e-07,0
1993-06-01,0,1.5943536089836397e-06,0
1993-07-01,0,1.4260270113034847e-07,0
1993-08-01,0,1.320142456948685e-07,0
1993-09-01,0,4.736208625642777e-06,0
1993-10-01,0,9.985162876685904e-07,0
1993-11-01,0,9.650890899015521e-08,0
1993-12-01,0,1.0031268078253729e-07,0
1994-01-01,0,2.498216601181925e-06,0
1994-02-01,0,9.829261052798815e-08,0
1994-03-01,0,1.4238009911618094e-07,0
1994-04-01,0,1.3425411501465526e-07,0
1994-05-01,0,1.0992311274499758e-07,0
1994-06-01,0,1.5630096808054789e-06,0
1994-07-01,0,1.0202453673824227e-07,0
1994-08-01,0,1.4126044248194015e-07,0
1994-09-01,0,1.1136660388852626e-07,0
1994-10-01,0,1.3274895311796412e-07,0
1994-11-01,0,1.242980822892134e-07,0
1994-12-01,0,2.2524849396870862e-07,0
1995-01-01,0,2.1301231002980713e-07,0
1995-02-01,0,3.3898455611415526e-07,0
1995-03-01,0,1.8693268065115052e-07,0
1995-04-01,0,6.146783779802975e-07,0
1995-05-01,0,7.13779975726336e-06,0
1995-06-01,0,2.1359757108821386e-07,0
1995-07-01,0,3.4659233505405635e-07,0
1995-08-01,0,7.587189541036826e-07,0
1995-09-01,0,1.106587208273778e-07,0
1995-10-01,0,1.1836522081236228e-07,0
1995-11-01,0,1.989010022683158e-07,0
1995-12-01,0,1.7029451601132935e-07,0
1996-01-01,0,7.758707663285639e-05,0
1996-02-01,0,2.794591461705655e-07,0
1996-03-01,0,1.193999914022954e-06,0
1996-04-01,0,1.4150170817088227e-07,0
1996-05-01,0,1.8902381627078352e-07,0
1996-06-01,0,1.3485279319951238e-07,0
1996-07-01,0,3.867357844396965e-06,0
1996-08-01,0,1.0186890236273692e-07,0
1996-09-01,0,1.8523304473606285e-07,0
1996-10-01,0,1.0307558477704161e-07,0
1996-11-01,0,2.505746762354696e-07,0
1996-12-01,0,2.9697797331825506e-07,0
1997-01-01,0,1.6352627331283935e-07,0
1997-02-01,0,1.5168404951037382e-07,0
1997-03-01,0,1.259536202708782e-07,0
1997-04-01,0,1.1828582897202752e-07,0
1997-05-01,0,1.2363445902056655e-07,0
1997-06-01,0,1.456744746713929e-07,0
1997-07-01,0,1.3008268695880624e-07,0
1997-08-01,0,1.623027683044298e-06,0
1997-09-01,0,1.3813175306254318e-07,0
1997-10-01,0,1.9058870493813e-07,0
1997-11-01,0,3.625635300117953e-07,0
1997-12-01,0,3.5605327724180794e-07,0
1998-01-01,0,3.723134519844094e-07,0
1998-02-01,0,5.59088915937036e-07,0
1998-03-01,0,4.0632104118047765e-07,0
1998-04-01,0,3.606562714262694e-07,0
1998-05-01,0,3.891408376570464e-07,0
1998-06-01,0,4.049245253776434e-06,0
1998-07-01,0,1.1877867207516407e-06,0
1998-08-01,0,5.700049861700617e-07,0
1998-09-01,0,7.422936992544616e-07,0
1998-10-01,0,1.5711093499483131e-06,0
1998-11-01,0,3.2375453187225447e-06,0
1998-12-01,0,2.880422645443181e-06,0
1999-01-01,0,9.32974065389698e-07,0
1999-02-01,0,6.996646288702004e-07,0
1999-03-01,0,6.659767794426754e-07,0
1999-04-01,0,4.454966612738094e-06,0
1999-05-01,0,2.806178237569978e-07,0
1999-06-01,0,7.822124596835528e-07,0
1999-07-01,0,2.676077129347251e-07,0
1999-08-01,0,2.3122726325860494e-07,0
1999-09-01,0,1.5177521106451475e-05,0
1999-10-01,0,2.6498559386399107e-07,0
1999-11-01,0,2.6403396867011647e-07,0
1999-12-01,0,3.627026011899848e-07,0
2000-01-01,0,2.3822351944744098e-07,0
2000-02-01,0,3.64654334487683e-07,0
2000-03-01,0,2.730861427352167e-07,0
2000-04-01,0,2.949272595219771e-07,0
2000-05-01,0,8.072552506894977e-07,0
2000-06-01,0,2.6512332078265744e-05,0
2000-07-01,0,8.247774154521912e-07,0
2000-08-01,0,6.05214081633944e-05,0
2000-09-01,0,3.458997814530118e-07,0
2000-10-01,0,2.411796973775913e-05,0
2000-11-01,0,7.008613024606308e-07,0
2000-12-01,0,9.293056816398203e-05,0
2001-01-01,0,0.00020549705816077626,0
2001-02-01,0,0.00011390776259118053,0
2001-03-01,0,0.00012156894382092763,0
2001-04-01,1,0.9998239613665953,1
2001-05-01,1,0.9996842892666499,1
2001-06-01,1,0.9997742125506517,1
2001-07-01,1,0.9999402413350109,1
2001-08-01,1,0.9998904454895818,1
2001-09-01,1,0.9999666395448856,1
2001-10-01,1,0.9998510267885393,1
2001-11-01,1,0.9995455178769692,1
2001-12-01,0,0.00019105486208687518,0
2002-01-01,0,3.770013728822692e-05,0
2002-02-01,0,4.822385172071175e-06,0
2002-03-01,0,5.472634407239174e-06,0
2002-04-01,0,1.1999039413684037e-05,0
2002-05-01,0,3.260773619064486e-07,0
2002-06-01,0,2.379359448453903e-07,0
2002-07-01,0,0.0001342654978930209,0
2002-08-01,0,6.750319544570949e-06,0
2002-09-01,0,1.85325870801036e-05,0
2002-10-01,0,1.6148835883596885e-06,0
2002-11-01,0,1.0350870348079522e-05,0
2002-12-01,0,0.00022564355027330008,0
2003-01-01,0,3.7574023693933556e-06,0
2003-02-01,0,0.0001095198737086251,0
2003-03-01,0,6.340141916470395e-05,0
2003-04-01,0,6.137868380527401e-05,0
2003-05-01,0,1.6920713394079417e-07,0
2003-06-01,0,1.881855121443726e-06,0
2003-07-01,0,8.470540779655567e-06,0
2003-08-01,0,4.532831476665252e-06,0
2003-09-01,0,1.0422827982003685e-07,0
2003-10-01,0,1.9533408480743281e-07,0
2003-11-01,0,1.0340798163389068e-07,0
2003-12-01,0,1.1143596428629017e-06,0
2004-01-01,0,2.4219045171065e-06,0
2004-02-01,0,1.103778074378504e-07,0
2004-03-01,0,1.722223522184355e-07,0
2004-04-01,0,1.0492454997269481e-07,0
2004-05-01,0,1.1294859046980371e-07,0
2004-06-01,0,2.33622733628503e-06,0
2004-07-01,0,9.143832893180349e-08,0
2004-08-01,0,1.766197429629497e-07,0
2004-09-01,0,1.1791481943118636e-07,0
2004-10-01,0,1.361783842074358e-07,0
2004-11-01,0,2.024378092197408e-06,0
2004-12-01,0,2.3316092908340274e-07,0
2005-01-01,0,1.7681600119461303e-06,0
2005-02-01,0,9.890619370822837e-08,0
2005-03-01,0,5.628658032990396e-07,0
2005-04-01,0,1.3243938039974768e-07,0
2005-05-01,0,2.4399972093958327e-07,0
2005-06-01,0,1.243307685796132e-07,0
2005-07-01,0,2.8429752161550446e-07,0
2005-08-01,0,1.5123453011049694e-07,0
2005-09-01,0,0.00013098141009749403,0
2005-10-01,0,2.688026400272179e-07,0
2005-11-01,0,2.3442685666419262e-07,0
2005-12-01,0,9.83326668433094e-08,0
2006-01-01,0,1.9383377572888698e-07,0
2006-02-01,0,2.867486850934662e-07,0
2006-03-01,0,1.612139540351933e-07,0
2006-04-01,0,9.06950030396431e-07,0
2006-05-01,0,4.364036789443789e-05,0
2006-06-01,0,1.8927485524798026e-07,0
2006-07-01,0,4.428206126508275e-05,0
2006-08-01,0,2.0336432869259468e-06,0
2006-09-01,0,2.847924573823388e-07,0
2006-10-01,0,4.159322250633794e-07,0
2006-11-01,0,2.3191124205742978e-07,0
2006-12-01,0,2.1896077112751344e-07,0
2007-01-01,0,0.00013088124979240931,0
2007-02-01,0,1.6794039403263124e-07,0
2007-03-01,0,2.9224103297641216e-07,0
2007-04-01,0,3.1382055948179774e-07,0
2007-05-01,0,1.9353730016932697e-07,0
2007-06-01,0,1.7827911667579259e-07,0
2007-07-01,0,2.4506314507803565e-06,0
2007-08-01,0,9.33542595421824e-05,0
2007-09-01,0,9.570061447359231e-07,0
2007-10-01,0,0.00012536575355915803,0
2007-11-01,0,5.5900775110206125e-05,0
2007-12-01,0,1.584905435040151e-05,0
